,Creditability,Account_Balance,Duration_of_Credit_monthly,Payment_Status_of_Previous_Credit,Purpose,Credit_Amount,Value_Savings_Stocks,Length_of_current_employment,Instalment_per_cent,Sex_Marital_Status,Guarantors,Duration_in_Current_address,Most_valuable_available_asset,Age_years,Concurrent_Credits,Type_of_apartment,No_of_Credits_at_this_Bank,Occupation,No_of_dependents,Telephone,Foreign_Worker
50,1,200 DM or Above,12,Paid Up,Other,640,None,"[1, 4)",Below 20%,"Male, Divorced",None,"[1, 4)",None,49,None,Rented,1,Unskilled Permanent Resident,3 or More,No,No
51,1,Below 200 DM,36,Paid Up,Furniture,3919,None,"[1, 4)","(25%, 35%)","Male, Married/Widowed",None,"[1, 4)",None,23,None,Rented,1,Skilled,3 or More,Yes,No
52,1,200 DM or Above,9,Previous Credits Paid,Other,1224,None,"[1, 4)","[20%, 25%)","Male, Married/Widowed",None,<1 Year,None,30,None,Rented,2 or 3,Skilled,3 or More,No,No
53,1,200 DM or Above,12,Previous Credits Paid,Furniture,2331,Above 1000,Above 7,Above 35%,"Male, Married/Widowed",Co-applicant,Above 7,None,49,None,Rented,1,Skilled,3 or More,Yes,No
54,1,200 DM or Above,24,Paid Up,New Car,6313,Above 1000,Above 7,"[20%, 25%)","Male, Married/Widowed",None,Above 7,Life Insurance,41,None,Rented,1,Executive,Less than 3,Yes,No
55,1,No Account,12,Previous Credits Paid,Furniture,385,None,"[4, 7)",Below 20%,"Male, Single",None,"[4, 7)",None,58,None,Rented,Above 6,Unskilled Permanent Resident,3 or More,Yes,No
56,1,200 DM or Above,12,Previous Credits Paid,Furniture,1655,None,Above 7,"(25%, 35%)","Male, Married/Widowed",None,Above 7,None,63,None,Rented,2 or 3,Unskilled Permanent Resident,3 or More,Yes,No
57,1,No Account,15,Paid Up,Furniture,1053,None,<1 Year,Below 20%,Female,None,"[1, 4)",None,27,None,Rented,1,Skilled,3 or More,No,Yes
58,1,200 DM or Above,21,Paid Up,Furniture,3160,Above 1000,Above 7,Below 20%,"Male, Married/Widowed",None,"[4, 7)",Car,41,None,Rented,1,Skilled,3 or More,Yes,No
59,1,200 DM or Above,36,Paid Up,Other,3079,Above 1000,"[1, 4)",Below 20%,"Male, Married/Widowed",None,Above 7,None,36,None,Rented,1,Skilled,3 or More,No,No
60,1,200 DM or Above,12,Previous Credits Paid,Other,1163,"[100, 500)","[1, 4)",Below 20%,"Male, Married/Widowed",None,Above 7,None,44,None,Rented,1,Skilled,3 or More,Yes,No
61,1,200 DM or Above,24,Paid Up,New Car,2679,None,<1 Year,Below 20%,"Male, Single",None,<1 Year,Real Estate,29,None,Rented,1,Executive,3 or More,Yes,No
62,1,200 DM or Above,48,Previous Credits Paid,Furniture,3578,Above 1000,Above 7,Below 20%,"Male, Married/Widowed",None,<1 Year,None,47,None,Rented,1,Skilled,3 or More,Yes,No
63,1,200 DM or Above,36,No Problem with Current Credits,Other,10875,None,Above 7,"(25%, 35%)","Male, Married/Widowed",None,"[1, 4)",Life Insurance,45,None,Rented,2 or 3,Skilled,Less than 3,Yes,No
64,1,No Account,12,No Problem with Current Credits,Other,1344,None,"[1, 4)",Below 20%,"Male, Married/Widowed",None,"[1, 4)",None,43,None,Rented,2 or 3,Unskilled Permanent Resident,Less than 3,No,No
65,1,200 DM or Above,6,Previous Credits Paid,Furniture,1237,Below 100 DM,"[1, 4)",Above 35%,"Male, Single",None,<1 Year,Car,27,None,Rented,2 or 3,Skilled,3 or More,No,No
66,1,200 DM or Above,12,Paid Up,Furniture,3077,None,"[1, 4)","(25%, 35%)","Male, Married/Widowed",None,Above 7,Life Insurance,52,None,Rented,1,Skilled,3 or More,Yes,No
67,1,200 DM or Above,24,Paid Up,Furniture,2284,None,"[4, 7)",Below 20%,"Male, Married/Widowed",None,"[1, 4)",Life Insurance,28,None,Rented,1,Skilled,3 or More,Yes,No
68,1,None,12,Paid Up,Furniture,1567,None,"[1, 4)",Above 35%,"Male, Single",None,<1 Year,Life Insurance,22,None,Rented,1,Skilled,3 or More,Yes,No
69,1,200 DM or Above,24,No Problem with Current Credits,Other,2032,None,Above 7,Below 20%,"Male, Married/Widowed",None,Above 7,Real Estate,60,None,Owned,2 or 3,Skilled,3 or More,Yes,No
70,1,None,21,Previous Credits Paid,Used Car,2745,"[500, 1000)","[4, 7)","[20%, 25%)","Male, Married/Widowed",None,"[1, 4)",Life Insurance,32,None,Rented,2 or 3,Skilled,3 or More,Yes,No
71,1,200 DM or Above,30,Paid Up,Furniture,1867,Above 1000,Above 7,Below 20%,"Male, Married/Widowed",None,Above 7,Life Insurance,58,None,Rented,1,Skilled,3 or More,Yes,No
72,1,200 DM or Above,36,Paid Up,Furniture,2299,"[100, 500)",Above 7,Below 20%,"Male, Married/Widowed",None,Above 7,Life Insurance,39,None,Rented,1,Skilled,3 or More,No,No
73,1,200 DM or Above,24,Paid Up,Used Car,929,Above 1000,"[4, 7)",Below 20%,"Male, Married/Widowed",None,"[1, 4)",Life Insurance,31,Dept. Store,Rented,1,Skilled,3 or More,Yes,No
74,1,Below 200 DM,12,Paid Up,Furniture,3399,Above 1000,Above 7,"(25%, 35%)","Male, Married/Widowed",None,"[4, 7)",Life Insurance,37,None,Rented,1,Executive,3 or More,No,No
75,1,None,9,Paid Up,Used Car,2030,Above 1000,"[4, 7)","(25%, 35%)","Male, Married/Widowed",None,<1 Year,Life Insurance,24,None,Rented,1,Skilled,3 or More,Yes,No
76,1,200 DM or Above,21,Previous Credits Paid,New Car,3275,None,Above 7,Above 35%,"Male, Married/Widowed",None,Above 7,Life Insurance,36,None,Rented,1,Executive,3 or More,Yes,No
77,1,200 DM or Above,24,Previous Credits Paid,Other,1940,"[500, 1000)",Above 7,Below 20%,"Male, Married/Widowed",None,Above 7,None,60,None,Rented,1,Skilled,3 or More,Yes,No
78,1,No Account,21,Previous Credits Paid,Other,1602,None,Above 7,Below 20%,Female,None,"[4, 7)",Life Insurance,30,None,Rented,2 or 3,Skilled,3 or More,Yes,No
79,1,200 DM or Above,15,Paid Up,Furniture,1979,Above 1000,Above 7,Below 20%,"Male, Married/Widowed",None,"[1, 4)",Life Insurance,35,None,Rented,1,Skilled,3 or More,No,No
80,1,200 DM or Above,24,Previous Credits Paid,Other,2022,None,"[1, 4)",Below 20%,"Male, Single",None,Above 7,Life Insurance,37,None,Rented,1,Skilled,3 or More,Yes,No
81,1,200 DM or Above,36,Previous Credits Paid,Furniture,3342,Above 1000,Above 7,Below 20%,"Male, Married/Widowed",None,"[1, 4)",Life Insurance,51,None,Rented,1,Skilled,3 or More,Yes,No
82,1,None,18,Paid Up,Other,5866,Below 100 DM,"[1, 4)","(25%, 35%)","Male, Married/Widowed",None,"[1, 4)",Life Insurance,30,None,Rented,2 or 3,Skilled,3 or More,Yes,No
83,1,Below 200 DM,15,Previous Credits Paid,New Car,2360,"[100, 500)","[1, 4)","(25%, 35%)","Male, Married/Widowed",None,"[1, 4)",Life Insurance,36,None,Rented,1,Skilled,3 or More,Yes,No
84,1,200 DM or Above,15,Previous Credits Paid,Used Car,1520,Above 1000,Above 7,Below 20%,"Male, Married/Widowed",None,Above 7,Car,63,None,Rented,1,Skilled,3 or More,No,No
85,1,No Account,12,Paid Up,Other,3651,"[500, 1000)","[1, 4)",Above 35%,"Male, Married/Widowed",None,"[4, 7)",Car,31,None,Rented,1,Skilled,Less than 3,No,No
86,1,200 DM or Above,24,Previous Credits Paid,New Car,2346,None,"[4, 7)",Below 20%,"Male, Married/Widowed",None,"[4, 7)",Life Insurance,35,None,Rented,2 or 3,Skilled,3 or More,Yes,No
87,1,200 DM or Above,36,No Problem with Current Credits,Furniture,4454,None,"[1, 4)",Below 20%,"Male, Single",None,Above 7,None,34,None,Rented,2 or 3,Skilled,3 or More,No,No
88,1,No Account,6,Previous Credits Paid,Other,666,"[500, 1000)","[4, 7)","[20%, 25%)","Male, Single",None,Above 7,None,39,None,Rented,2 or 3,Unskilled Permanent Resident,3 or More,Yes,No
89,1,None,24,No Problem with Current Credits,Other,1965,Above 1000,"[1, 4)",Below 20%,"Male, Single",None,Above 7,Life Insurance,42,None,Free,2 or 3,Skilled,3 or More,Yes,No
90,1,None,12,Previous Credits Paid,Other,1995,Below 100 DM,<1 Year,Below 20%,"Male, Married/Widowed",None,<1 Year,Life Insurance,27,None,Rented,1,Skilled,3 or More,No,No
91,1,None,30,Paid Up,Furniture,2991,Above 1000,Above 7,"(25%, 35%)","Male, Single",None,Above 7,Life Insurance,25,None,Rented,1,Skilled,3 or More,No,No
92,1,None,30,Delayed,Retraining,4221,None,"[1, 4)","(25%, 35%)","Male, Single",None,<1 Year,Life Insurance,28,None,Rented,2 or 3,Skilled,3 or More,No,No
93,1,No Account,9,Paid Up,Furniture,1364,None,"[4, 7)","[20%, 25%)","Male, Married/Widowed",None,Above 7,None,59,None,Rented,1,Skilled,3 or More,No,No
94,1,None,18,Previous Credits Paid,Used Car,6361,None,Above 7,"(25%, 35%)","Male, Married/Widowed",None,<1 Year,Real Estate,41,None,Rented,1,Skilled,3 or More,Yes,No
95,1,200 DM or Above,27,Previous Credits Paid,Used Car,4526,"[500, 1000)",<1 Year,Below 20%,"Male, Married/Widowed",None,"[1, 4)",None,32,Dept. Store,Rented,2 or 3,Unskilled Permanent Resident,Less than 3,Yes,No
96,1,None,12,Previous Credits Paid,Furniture,3573,None,"[1, 4)",Above 35%,"Male, Single",None,<1 Year,None,23,None,Rented,1,Unskilled Permanent Resident,3 or More,No,No
97,0,None,36,No Problem with Current Credits,Retraining,4455,None,"[1, 4)","(25%, 35%)","Male, Divorced",None,"[1, 4)",None,30,Dept. Store,Rented,2 or 3,Executive,3 or More,Yes,No
98,1,No Account,9,Paid Up,Used Car,2136,None,"[1, 4)","[20%, 25%)","Male, Married/Widowed",None,"[1, 4)",None,25,None,Rented,1,Skilled,3 or More,No,No
99,1,None,42,Previous Credits Paid,Retraining,5954,None,"[4, 7)","(25%, 35%)","Male, Single",None,<1 Year,None,41,Other Banks,Rented,2 or 3,Unskilled Permanent Resident,3 or More,No,No
100,1,200 DM or Above,24,Previous Credits Paid,Used Car,3777,"[500, 1000)","[1, 4)",Below 20%,"Male, Married/Widowed",None,Above 7,None,40,None,Rented,1,Skilled,3 or More,Yes,No
101,1,No Account,15,Paid Up,Retraining,806,None,"[1, 4)",Below 20%,"Male, Single",None,Above 7,Car,22,None,Rented,1,Unskilled Permanent Resident,3 or More,No,No
102,1,None,24,No Problem with Current Credits,Retraining,4712,Above 1000,"[1, 4)",Below 20%,"Male, Married/Widowed",None,"[1, 4)",Car,34,Other Banks,Rented,2 or 3,Executive,3 or More,Yes,No
103,1,None,36,No Problem with Current Credits,Other,7432,None,"[1, 4)","(25%, 35%)","Male, Single",None,"[1, 4)",Car,54,None,Free,1,Skilled,3 or More,No,No
104,1,200 DM or Above,24,Previous Credits Paid,Furniture,1851,None,"[4, 7)",Below 20%,Female,Guarantor,"[1, 4)",Life Insurance,33,None,Rented,2 or 3,Skilled,3 or More,Yes,No
105,1,200 DM or Above,24,Paid Up,Other,1393,None,"[1, 4)","(25%, 35%)","Male, Married/Widowed",Guarantor,"[1, 4)",None,31,None,Rented,1,Skilled,3 or More,Yes,No
106,1,200 DM or Above,12,Previous Credits Paid,Retraining,1412,None,"[1, 4)",Below 20%,"Male, Single",Guarantor,"[1, 4)",None,29,None,Rented,2 or 3,Executive,3 or More,Yes,No
107,1,200 DM or Above,18,Paid Up,Furniture,1473,None,<1 Year,"[20%, 25%)",Female,None,Above 7,None,39,None,Rented,1,Skilled,3 or More,Yes,No
108,1,200 DM or Above,24,Paid Up,Furniture,1533,None,<1 Year,Below 20%,"Male, Single",None,"[4, 7)",Life Insurance,38,Dept. Store,Rented,1,Skilled,3 or More,Yes,No
109,1,200 DM or Above,12,Previous Credits Paid,Repair,2012,Above 1000,"[4, 7)",Below 20%,"Male, Single",None,"[1, 4)",Life Insurance,61,None,Rented,1,Skilled,3 or More,No,No
110,0,No Account,15,Paid Up,Other,3959,None,"[1, 4)","[20%, 25%)","Male, Single",None,"[1, 4)",Car,29,None,Rented,1,Skilled,3 or More,Yes,No
111,1,No Account,6,Paid Up,Used Car,428,None,Above 7,"(25%, 35%)","Male, Single",None,<1 Year,Car,49,Other Banks,Rented,1,Skilled,3 or More,Yes,No
112,1,None,12,Previous Credits Paid,Other,2366,"[100, 500)","[4, 7)","[20%, 25%)","Male, Divorced",None,"[4, 7)",Life Insurance,36,None,Rented,1,Executive,3 or More,Yes,No
113,1,200 DM or Above,12,Paid Up,Used Car,763,None,"[1, 4)",Below 20%,"Male, Single",None,<1 Year,None,26,None,Rented,1,Skilled,3 or More,Yes,No
114,1,None,21,Paid Up,Used Car,3976,Above 1000,"[4, 7)","(25%, 35%)","Male, Married/Widowed",None,"[4, 7)",Life Insurance,35,None,Rented,1,Skilled,3 or More,Yes,No
115,1,None,18,Paid Up,Other,6260,None,"[4, 7)","[20%, 25%)","Male, Married/Widowed",None,"[4, 7)",None,28,None,Free,1,Unskilled Permanent Resident,3 or More,No,No
116,1,None,9,Previous Credits Paid,Used Car,1919,None,"[4, 7)",Below 20%,"Male, Married/Widowed",None,"[4, 7)",Life Insurance,35,None,Free,1,Skilled,3 or More,Yes,No
117,1,200 DM or Above,24,Paid Up,New Car,2603,"[500, 1000)","[1, 4)","(25%, 35%)","Male, Single",None,Above 7,Life Insurance,28,None,Free,1,Skilled,3 or More,Yes,No
118,1,200 DM or Above,9,Previous Credits Paid,Repair,936,"[100, 500)",Above 7,Below 20%,"Male, Married/Widowed",None,"[1, 4)",Life Insurance,52,None,Rented,2 or 3,Skilled,3 or More,Yes,No
119,1,200 DM or Above,24,Paid Up,Used Car,3062,"[100, 500)",Above 7,Below 20%,"Male, Married/Widowed",None,"[4, 7)",Real Estate,32,None,Free,1,Skilled,3 or More,Yes,No
120,1,None,36,Paid Up,Furniture,4795,None,<1 Year,Below 20%,"Male, Single",None,<1 Year,Real Estate,30,None,Rented,1,Executive,3 or More,Yes,No
121,1,200 DM or Above,36,Previous Credits Paid,New Car,5842,None,Above 7,"(25%, 35%)","Male, Married/Widowed",None,"[1, 4)",Car,35,None,Rented,2 or 3,Skilled,Less than 3,Yes,No
122,1,None,6,Paid Up,Furniture,2063,None,<1 Year,Below 20%,Female,None,"[4, 7)",Life Insurance,30,None,Free,1,Executive,3 or More,Yes,No
123,1,200 DM or Above,15,Previous Credits Paid,Furniture,1459,None,"[1, 4)",Below 20%,"Male, Single",None,"[1, 4)",Life Insurance,43,None,Rented,1,Unskilled Permanent Resident,3 or More,No,No
124,1,200 DM or Above,15,Paid Up,Furniture,1213,"[100, 500)",Above 7,Below 20%,"Male, Married/Widowed",None,"[4, 7)",Car,47,Dept. Store,Rented,1,Skilled,3 or More,Yes,No
125,1,200 DM or Above,24,Previous Credits Paid,Furniture,5103,None,<1 Year,"[20%, 25%)",Female,None,"[4, 7)",Real Estate,47,None,Owned,4 or 5,Skilled,3 or More,Yes,No
126,1,200 DM or Above,15,Paid Up,Radio/TV,874,Above 1000,<1 Year,Below 20%,"Male, Single",None,<1 Year,None,24,None,Rented,1,Skilled,3 or More,No,No
127,1,200 DM or Above,6,Paid Up,Used Car,2978,"[100, 500)","[1, 4)",Above 35%,"Male, Married/Widowed",None,"[1, 4)",Life Insurance,32,None,Rented,1,Skilled,3 or More,Yes,No
128,1,200 DM or Above,18,Paid Up,Other,1820,None,"[1, 4)","(25%, 35%)",Female,None,"[1, 4)",Car,30,None,Rented,1,Executive,3 or More,Yes,No
129,1,200 DM or Above,24,Previous Credits Paid,Furniture,2872,Below 100 DM,Above 7,"[20%, 25%)","Male, Married/Widowed",None,Above 7,None,36,None,Rented,1,Skilled,Less than 3,Yes,No
130,1,Below 200 DM,24,Paid Up,Used Car,1925,None,"[1, 4)","(25%, 35%)","Male, Married/Widowed",None,"[1, 4)",None,26,None,Rented,1,Skilled,3 or More,No,No
131,1,200 DM or Above,18,Paid Up,Used Car,2515,None,"[1, 4)","[20%, 25%)","Male, Married/Widowed",None,Above 7,None,43,None,Rented,1,Skilled,3 or More,Yes,No
132,1,Below 200 DM,6,Paid Up,Used Car,2116,None,"[1, 4)","(25%, 35%)","Male, Married/Widowed",None,"[1, 4)",None,41,None,Rented,1,Skilled,3 or More,Yes,No
133,1,200 DM or Above,18,Paid Up,Furniture,1453,None,<1 Year,"[20%, 25%)","Male, Single",None,<1 Year,None,26,None,Rented,1,Skilled,3 or More,No,No
134,1,200 DM or Above,10,Paid Up,Other,1364,None,"[1, 4)","(25%, 35%)","Male, Single",None,Above 7,Life Insurance,64,None,Rented,1,Skilled,3 or More,Yes,No
135,1,200 DM or Above,6,Paid Up,Used Car,1543,"[500, 1000)","[1, 4)",Below 20%,"Male, Divorced",None,"[1, 4)",None,33,None,Rented,1,Skilled,3 or More,No,No
136,1,None,12,Paid Up,Other,1318,"[500, 1000)",Above 7,Below 20%,"Male, Married/Widowed",None,Above 7,None,54,None,Rented,1,Skilled,3 or More,Yes,No
137,1,No Account,24,Other Credits,Other,2325,Below 100 DM,"[4, 7)","(25%, 35%)","Male, Married/Widowed",None,"[4, 7)",Life Insurance,32,Other Banks,Rented,1,Skilled,3 or More,No,No
138,1,None,6,Previous Credits Paid,Vacation,932,Above 1000,"[4, 7)",Above 35%,"Male, Single",None,"[4, 7)",Car,39,None,Rented,2 or 3,Unskilled Permanent Resident,3 or More,No,No
139,1,Below 200 DM,24,Previous Credits Paid,Furniture,3148,Above 1000,"[1, 4)","[20%, 25%)","Male, Married/Widowed",None,"[1, 4)",Life Insurance,31,None,Rented,2 or 3,Skilled,3 or More,Yes,No
140,1,200 DM or Above,36,Paid Up,Furniture,3835,Above 1000,Above 7,"(25%, 35%)","Male, Single",None,Above 7,None,45,None,Rented,1,Unskilled Permanent Resident,3 or More,Yes,No
